id,period,replacement_balance,gp,mortgage1,mortgage_other
F94,2014-12," 408,279 ", 222 ," 9,567,358 "," 12,400,000 "
S56,2014-12, 60 , -   ," 5,444,328 "," 7,260,000 "
S57,2014-12," 171,153 "," 20,842 "," 3,451,266 "," 7,900,000 "
S59,2014-12," 66,988 ", -   ," 1,603,244 "," 5,200,000 "
F83,2014-12," 43,005 ", -   ," 1,265,357 ", -   
F86,2014-12," 144,793 ", -   ," 1,394,983 ", -   
F87,2014-12," 61,568 ", -   ," 1,599,512 ", -   
F88,2014-12," 55,550 ", -   ," 515,323 ", -   
F81,2014-12," 231,976 "," 113,828 "," 4,659,939 ", -   
F82,2014-12," 77,530 ", -   ," 1,815,223 ", -   
F84,2014-12," 110,458 ", -   ," 2,103,814 "," 326,536 "
F85,2014-12," 14,000 "," 15,150 "," 1,393,935 "," 8,762,423 "
F89,2014-12," 229,665 ", -   ," 2,560,658 "," 400,000 "
F90,2014-12," 171,188 "," 136,237 "," 2,412,964 "," 1,250,000 "
F91,2014-12," 26,554 "," 86,126 "," 829,622 "," 3,772,340 "
F92,2014-12," 662,583 "," 98,171 "," 2,436,197 "," 26,417,139 "
S47,2014-12," 363,759 ", -   ," 4,240,929 "," 6,264,388 "
S55,2014-12," 12,610 ", -   ," 1,163,582 "," 550,000 "
S52,2014-12," 304,496 "," 151,641 "," 1,060,456 "," 5,056,773 "
F93,2014-12," 370,494 ", -   ," 520,592 "," 1,117,859 "
F78,2014-12," 490,341 ", -   ," 3,163,865 "," 1,749,210 "
F93,2014-12," 111,345 "," 143,337 "," 1,126,000 "," 3,432,544 "
N/A,2014-12," 529,799 ", -   ," 6,578,900 "," 7,243,895 "
F75,2014-12," 3,992 "," 10,766 ", -   ," 14,442,629 "
S58,2014-12," 213,717 "," 27,652 "," 737,445 "," 9,196,001 "
F77,2014-12," 89,573 "," 8,195 "," 1,509,360 "," 7,600,000 "
F79,2014-12," 102,776 "," 8,157 "," 1,201,347 "," 2,500,000 "
F78,2014-12," 107,668 "," 8,156 "," 1,685,000 "," 7,503,254 "
F 76,2014-12," 300,746 "," 24,330 "," 260,246 "," 4,400,000 "
F 74,2014-12, -   , -   ," 2,460,000 "," 2,456,500 "
